Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Black Capital Ventures,https://blackcapitalventures.com,"Copenhagen, Denmark","norway,sweden,denmark,finland","1. Idea or Patent,2. Prototype",We invest in technology focused startups preferably within deep-tech.,VC,$100000,$1000000
BlackFin Tech,https://www.blackfin-tech.com/,"15 rue de Laborde, 75008 Paris, France","france,germany,uk,spain,denmark,belgium,portugal,austria,sweden","3. Early Revenue,4. Scaling,5. Growth",We invest in fast growing fintechs and insurtechs in Europe. Accross stages.,VC,$1000000,$30000000
Blisce/,https://blisce.com/,"28 cours Albert 1er, 75008, Paris, France","france,usa,uk,germany,netherlands,sweden,denmark,norway,spain,italy,finland",5. Growth,We invest in the future of B2C.,VC,$10000000,$20000000
Blu Ventures,https://www.bluventureinvestors.com/,"1577 Spring Hill Rd, Vienna, VA 22182","usa,canada","3. Early Revenue,4. Scaling",We invest in US/Canada based Enterprise SaaS startups with a focus on security solutions with $100K+ ARR,VC,$50000,$1000000
Blue Collective,https://bluecollective.com/,"New York, United States",usa,"2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-Series A companies (Pre-Seed and Seed). We are NOT thesis-driven in the way most VCs are. Our strategy is to invest in great founders in the earliest days of building a company and to invest broadly across industry, category, theme, trend, etc. Great founders at early stage with big ideas - that's our thesis (if we had to write it out)",VC,$200000,$2000000
Blue Future Partners,https://www.bfp.vc/,"Waltherstraße 23, Munich, Germany","usa,uk,israel,germany,singapore,austria","4. Scaling,5. Growth",We invest in enterprise SaaS and Industry 4.0,VC,$2000000,$5000000
Bluesky Equities,http://www.blueskyequities.com/,"150 9 Ave SW, Calgary, Alberta T2P 3H9, CA","canada,usa,uk,australia,germany,belgium,spain,france,switzerland,norway,sweden,denmark,mexico,china,south korea,india","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in global B2B technology companies with >$0 ARR.,Family office,$50000,$250000
BlueYard Capital,https://blueyard.com/,"Berlin, Germany","usa,germany,uk,netherlands,france,spain,portugal,switzerland,belgium,austria,poland,sweden,norway,finland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in founders with transformative ideas that decentralize markets and empower humanity.,VC,$500000,$5000000
Bowery Capital,https://bowerycap.com/,"37 West 20th Street, New York, NY 10011, US","usa,canada","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in seed-stage B2B SaaS and B2B marketplace companies looking to modernize business through technology.,VC,$750000,$2000000
Bread and Butter Ventures,https://www.breadandbutterventures.com/,"370 Wabasha St,  St. Paul MN 55102","usa,canada","3. Early Revenue,2. Prototype,4. Scaling","We invest in companies innovating in three essential backbone sectors of our economy: food/ag tech, health tech, and enterprise SaaS. ",VC,$250000,$750000
Breed Reply,https://www.reply.com/breed-reply/en/,"38 Grosvenor Gardens London SW1W 0EB, UK","austria,belgium,czech republic,denmark,estonia,bulgaria,finland,france,germany,georgia,greece,hungary,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,netherlands,norway,portugal,romania,slovenia,switzerland,slovakia,sweden,spain,uk","3. Early Revenue,4. Scaling","We invest in Seed to Series A startups in the UK and Europe mainly B2B or B2B2C in the IoT, Advanced Manufacturing, Robotics, Agtech, Cyber, Healthtech, AR, AI/ML and a few other spaces.",VC,$1000000,$5000000
Breega,https://www.breega.com/,"22 rue de Palestro, 75002 Paris, France","belgium,france,germany,portugal,spain,switzerland,uk","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software, fintech, insurtech, marketplaces, edtech, robotics, deeptech, hardware.

We are an early-stage investor and specialize in Seed and Series A (sometimes even Pre-Seed!) rounds for early-stage companies with some sign of market fit (up and running pilots, engaged users, positive customer feedback, etc.) or high tech solutions with significant market potential.",VC,$500000,$5000000
Bronze Valley,https://bronzevalley.com/,"Birmingham, AL, United States",usa,3. Early Revenue,"We invest in underrepresented founders, especially Black founders, based in Alabama and Georgia.",Other,$25000,$100000
BT Growth Capital,https://www.btgrowthcapital.com/,"208 Dolphin Cove Quay, Stamford, CT 06902, United States","canada,usa,mexico,china","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early stage start-ups,VC,$10000,$75000
Bullish,http://bullish.co/,"135 Bowery, Seventh Floor, New York, New York 10002, US",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage consumer companies in search of remarkability. ,VC,$250000,$500000
bValue VC,https://bvalue.vc/,"Al. Ks. J. Poniatowskiego 1, Warszawa, 03–901, PL","poland,ukraine,czech republic,slovakia,bulgaria,romania,lithuania,belarus,latvia,estonia","3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in CEE based b2b SaaS and marketplace startups, preferably on first revenue stage with focus on global market.",VC,$100000,$500000
ByFounders,https://byfounders.vc/,Denmark,"denmark,norway,finland,sweden,estonia,lithuania,latvia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early stage companies with a Nordic or Baltic connection,VC,$300000,$6000000
C4 Ventures,https://c4v.com/home/,"25 Eccleston Place, Eccleston Yards, London SW1W 9NF, UK","belgium,france,germany,israel,italy,netherlands,poland,portugal,spain,switzerland,uk,usa","2. Prototype,3. Early Revenue,4. Scaling","We invest in Smart Hardware, Future of Commerce, Digital Media and Future of Work. ",VC,$2000000,$5000000
Cacao Capital VC,https://cacao-capital.com,"VÍA 6 3-56, Z.4, EDIFICIO OEG, GUATEMALA","guatemala,el salvador,honduras,nicaragua,costa rica,panama,mexico,usa,colombia,brazil,argentina","3. Early Revenue,4. Scaling","We invest in amazing entrepreneurs with impactful projects, solving big problems in Latin America. We are industry-agnostic and we address small and medium size startups with early revenue and some traction.",VC,$10000,$50000
Caixa Capital Risc,https://www.caixacapitalrisc.es/en/,"Avinguda Diagonal, 621, 08028 Barcelona, Spain","spain,portugal","3. Early Revenue,2. Prototype,4. Scaling,5. Growth,1. Idea or Patent","We invest in innovative companies in their initial stages of growth, mainly in Spain and Portugal with our three specialized teams in the areas of Technology, Life Sciences and Industrial Innovation.",VC,$500000,$3000000
Candid Insurance Investors,https://www.candidinvestors.com/,"New York City, NY US",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in US-based insurtech (or just insurance) companies at any stage. The earlier, the better. Mostly focused on the property-casualty sector. ",Angel network,$50000,$10000000
CapAgro,https://www.capagro.fr/,France,"france,belgium,usa,austria,canada,germany,uk,switzerland,spain,sweden,portugal,luxembourg,italy,israel,ireland,greece,czech republic,croatia","3. Early Revenue,4. Scaling",First European Independent Venture Capital fund dedicated to AgTech and FoodTech,VC,$1000000,$10000000
CapHorn,https://caphorn.vc/,"7 rue Drouot, 75009 Paris, France.","france,canada,singapore,switzerland,germany,uk,spain,portugal","3. Early Revenue,4. Scaling",We invest in B2B startups that drive digital transformation. We mainly focus on Seed and Series A in rounds ranging from 2 to 20M€.,VC,$300000,$5000000
Capital Energy Quantum,https://capitalenergy-quantum.com/,"Torre Serrano C/ Marqués de Villamagna 3 , Madrid, Spain","spain,portugal","3. Early Revenue,4. Scaling","We invest in and around the energy sector: client-focused solutions, digital & data-driven utility, sustainable mobility, smartgrids & storage, renewable generation.",Corporate VC,$200000,$500000
Capnamic,https://capnamic.com/,"Kaiser-Wilhelm-Ring 26, Cologne, NRW 50672, DE","germany,austria,switzerland",3. Early Revenue,We invest in markets and industries characterized by high growth and technological innovation; we believe that disruption is driven by digital transformation.,VC,$500000,$3600000
Carao Ventures,http://www.caraov.com/,"Avenida Las Americas, Sabana Norte, San Jose, Costa Rica","argentina,bolivia,colombia,costa rica,ecuador,guatemala,honduras,panama,mexico,peru,chile,dominican republic","2. Prototype,3. Early Revenue,4. Scaling","We invest in startups based in the small and medium markets of Latin America, building products for the region or the world!",VC,$25000,$50000
Cardumen Capital,https://www.cardumencapital.com/,"Núñez de Balboa, 120, 6-Dcha, 28006 Madrid, Madrid, Madrid 28010, ES",israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli B2B deep tech Seed and Series A companies across various sectors including AI, Cybersecurity, and Big Data.",VC,$1000000,$3000000
Cathay AfricInvest Innovation,https://cathayinnovation.com/fund/cathay-africinvest-innovation/,"1101, 11th floor, The Core, No 62, ICT Avenue, Cybercity, Ebene, Mauritius","south africa,nigeria,tunisia,egypt,kenya,morocco,algeria,côte d'ivoire","4. Scaling,5. Growth,3. Early Revenue","We invest in early to growth-stage startups based in or focused on Africa that are ready to scale and make a significant impact with innovative and inclusive solutions.

We back mission-driven teams with a particular focus on logistics, e-commerce, edtech, fintech, mobility, healthtech, energy and agtech.

Our initial check sizes range from $1 – $10M for growth-stage or select seed-stage tickets up to $1M.",VC,$1000000,$10000000
Cavalry Ventures,https://cavalry.vc/,"Novalisstraße 12, Berlin, Berlin 10115, Germany","usa,austria,belgium,czech republic,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,netherlands,norway,poland,portugal,romania,serbia,slovakia,slovenia,spain,sweden,switzerland,uk,ukraine","1. Idea or Patent,2. Prototype","We invest in software businesses across Europe
- We like to lead financing rounds and leave room open to complement the rounds with great angels
- We do priced rounds and convertibles
- We are interested in consumer/B2C as well as enterprise/B2B",VC,$600000,$2000000
CE Ventures,https://www.crescententerprises.com/ce-ventures/,"Crescent House, P.O Box 2222, Corniche Al Buhaira, Sharjah, AE","uae,usa,india,indonesia,singapore,saudi arabia,egypt","5. Growth,4. Scaling,6. Pre-IPO","We invest in consumer tech (MENA, SE Asia and India), Enterprise tech (US) and deep tech (global).

We typically invest in Series B onwards. ",Corporate VC,$2000000,$7000000
CFV Ventures,https://www.fintechvc.us/,"222 S Church St, Charlotte, North Carolina US","usa,germany,france,morocco,ukraine,uk,nigeria,ireland,australia","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in early-stage startups primarily based in the United States or affiliated with the Queen City Fintech Accelerator program. Seed and Series A.,VC,$50000,$250000
Change Ventures,https://www.changeventures.com/,"Sepise 9, Tallinn, Estonia","estonia,latvia,lithuania,spain,germany,uk,usa","3. Early Revenue,4. Scaling",We invest in ambitious Baltic founders wherever they set-up their businesses. Primarily focused on Seed stage companies operating internationally.,VC,$350000,$1300000
Citizen Capital,http://www.citizencapital.fr/,"16 Place de la République, Paris, 75010, FR",france,"3. Early Revenue,4. Scaling,5. Growth","We invest in ambitious and mission-driven entrepreneurs, trying to solve major social or environmental issues.

We typically participate in rounds from 1 to 10M€, starting pre-series A.

Some portfolio companies : OpenClassrooms, Ulule, RPur, Supermood",VC,$360000,$4800000
